
=================================================================
  InvoiceTriageEnv — REINFORCE Training
  Tasks: ['easy_approve_clean', 'easy_reject_no_po', 'easy_utilities_approve', 'easy_travel_approve', 'easy_missing_approval', 'medium_amount_mismatch', 'medium_duplicate_detection', 'medium_fx_currency_risk', 'medium_equipment_over_budget', 'medium_subscription_overbill', 'medium_split_invoice_abuse', 'hard_multi_issue_fraud', 'hard_suspicious_vendor', 'hard_ghost_vendor', 'hard_tax_fraud_pattern', 'hard_healthcare_complex']
  Episodes: 5000 | LR: 0.0003 | γ: 0.99
  Policy params: 366,602
=================================================================

  Ep    1/5000 | task=easy_approve_clean             | score=0.7692 | avg20=0.7692 | steps= 4 | loss=-0.2513
  Ep  720/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.0360 | steps=20 | loss=0.9966
  Ep  730/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.0730 | steps=15 | loss=-0.3992
  Ep  740/5000 | task=easy_travel_approve            | score=0.0001 | avg20=0.1479 | steps= 4 | loss=-0.7177
  Ep  750/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.0768 | steps=20 | loss=-0.7426
  ✓ Saved checkpoint: outputs/checkpoints/policy_ep0750.pt
  Ep  760/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.0884 | steps=15 | loss=-0.5137
  Ep  770/5000 | task=easy_reject_no_po              | score=0.3143 | avg20=0.1059 | steps= 3 | loss=-0.1304
  Ep  780/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.0176 | steps=20 | loss=-1.0227
  Ep  790/5000 | task=medium_amount_mismatch         | score=0.0001 | avg20=0.0055 | steps= 4 | loss=-0.2370
  Ep  800/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.0073 | steps=20 | loss=-0.2289
  Ep  810/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.0342 | steps=15 | loss=1.0942
  Ep  820/5000 | task=easy_travel_approve            | score=0.0001 | avg20=0.1050 | steps= 4 | loss=-0.4857
  Ep  830/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.0727 | steps=20 | loss=0.5175
  Ep  840/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.0342 | steps=15 | loss=-0.8359
  Ep  850/5000 | task=easy_reject_no_po              | score=0.0001 | avg20=0.0645 | steps= 3 | loss=0.8973
  Ep  860/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.0304 | steps=20 | loss=-1.0950
  Ep  870/5000 | task=medium_amount_mismatch         | score=0.0001 | avg20=0.0422 | steps= 4 | loss=-0.0240
  Ep  880/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.0440 | steps=20 | loss=-0.3708
  Ep  890/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.0342 | steps=15 | loss=-0.2519
  Ep  900/5000 | task=easy_travel_approve            | score=0.4923 | avg20=0.0588 | steps= 6 | loss=-0.1512
  Ep  910/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.0265 | steps=20 | loss=-0.2429
  Ep  920/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.0470 | steps=15 | loss=0.8366
  Ep  930/5000 | task=easy_reject_no_po              | score=0.2857 | avg20=0.0631 | steps= 4 | loss=-0.4422
  Ep  940/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.0779 | steps=20 | loss=1.0139
  Ep  950/5000 | task=medium_amount_mismatch         | score=0.5875 | avg20=0.1087 | steps= 4 | loss=-0.5652
  Ep  960/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.0488 | steps=20 | loss=0.2290
  Ep  970/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.0727 | steps=15 | loss=0.0533
  Ep  980/5000 | task=easy_travel_approve            | score=0.0001 | avg20=0.1434 | steps= 4 | loss=0.1144
  Ep  990/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.0727 | steps=20 | loss=-0.1947
  Ep 1000/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.0499 | steps=15 | loss=-0.2089
  ✓ Saved checkpoint: outputs/checkpoints/policy_ep1000.pt
  Ep 1010/5000 | task=easy_reject_no_po              | score=0.0001 | avg20=0.0517 | steps= 3 | loss=-0.2115
  Ep 1020/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.0636 | steps=20 | loss=-0.7217
  Ep 1030/5000 | task=medium_amount_mismatch         | score=0.0001 | avg20=0.1486 | steps= 4 | loss=-0.1886
  Ep 1040/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.0888 | steps=20 | loss=-0.4682
  Ep 1050/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.0019 | steps=15 | loss=0.5790
  Ep 1060/5000 | task=easy_travel_approve            | score=0.4923 | avg20=0.0588 | steps= 5 | loss=-0.3029
  Ep 1070/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.0588 | steps=20 | loss=0.0031
  Ep 1080/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.0735 | steps=15 | loss=-0.2664
  Ep 1090/5000 | task=easy_reject_no_po              | score=0.0001 | avg20=0.1122 | steps= 3 | loss=-0.2631
  Ep 1100/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.1328 | steps=20 | loss=-0.5790
  Ep 1110/5000 | task=medium_amount_mismatch         | score=0.5875 | avg20=0.1899 | steps= 4 | loss=-0.6521
  Ep 1120/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.0977 | steps=20 | loss=-0.0028
  Ep 1130/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.0019 | steps=15 | loss=-1.1371
  Ep 1140/5000 | task=easy_travel_approve            | score=0.6462 | avg20=0.0485 | steps= 4 | loss=-0.0768
  Ep 1150/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.0779 | steps=20 | loss=-0.4806
  Ep 1160/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.0456 | steps=15 | loss=-0.0007
  Ep 1170/5000 | task=easy_reject_no_po              | score=0.0714 | avg20=0.0216 | steps= 4 | loss=1.0426
  Ep 1180/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.0378 | steps=20 | loss=-0.6303
  Ep 1190/5000 | task=medium_amount_mismatch         | score=0.0001 | avg20=0.1207 | steps= 4 | loss=0.1223
  Ep 1200/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.0902 | steps=20 | loss=-0.2058
  Ep 1210/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.0288 | steps=15 | loss=0.6349
  Ep 1220/5000 | task=easy_travel_approve            | score=0.0001 | avg20=0.0829 | steps= 4 | loss=-0.5754
  Ep 1230/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.0854 | steps=20 | loss=0.0550
  Ep 1240/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.0636 | steps=15 | loss=0.2183
  Ep 1250/5000 | task=easy_reject_no_po              | score=0.3143 | avg20=0.0517 | steps= 3 | loss=-0.0872
  ✓ Saved checkpoint: outputs/checkpoints/policy_ep1250.pt
  Ep 1260/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.0499 | steps=20 | loss=-0.1953
  Ep 1270/5000 | task=medium_amount_mismatch         | score=0.5875 | avg20=0.1398 | steps= 4 | loss=-0.1611
  Ep 1280/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.1093 | steps=20 | loss=-0.1806
  Ep 1290/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.0727 | steps=15 | loss=-0.2551
  Ep 1300/5000 | task=easy_travel_approve            | score=0.6462 | avg20=0.1463 | steps= 4 | loss=0.6211
  Ep 1310/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.0755 | steps=20 | loss=-0.8318
  Ep 1320/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.0870 | steps=15 | loss=0.3252
  Ep 1330/5000 | task=easy_reject_no_po              | score=0.3143 | avg20=0.1429 | steps= 3 | loss=-0.7457
  Ep 1340/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.1178 | steps=20 | loss=-0.0828
  Ep 1350/5000 | task=medium_amount_mismatch         | score=0.5875 | avg20=0.1560 | steps= 4 | loss=-0.1275
  Ep 1360/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.0962 | steps=20 | loss=-0.2968
  Ep 1370/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.0342 | steps=15 | loss=0.2406
  Ep 1380/5000 | task=easy_travel_approve            | score=0.6462 | avg20=0.0665 | steps= 4 | loss=0.0731
  Ep 1390/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.0342 | steps=20 | loss=0.3566
  Ep 1400/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.0665 | steps=15 | loss=0.3222
  Ep 1410/5000 | task=easy_reject_no_po              | score=0.0001 | avg20=0.0683 | steps= 3 | loss=0.3361
  Ep 1420/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.0959 | steps=20 | loss=-0.2407
  Ep 1430/5000 | task=medium_amount_mismatch         | score=0.5875 | avg20=0.1576 | steps= 4 | loss=-0.1055
  Ep 1440/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.0654 | steps=20 | loss=-0.4375
  Ep 1450/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.0378 | steps=15 | loss=-0.3767
  Ep 1460/5000 | task=easy_travel_approve            | score=0.4923 | avg20=0.1247 | steps= 7 | loss=-0.7453
  Ep 1470/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.1182 | steps=20 | loss=-0.3627
  Ep 1480/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.0959 | steps=15 | loss=0.5339
  Ep 1490/5000 | task=easy_reject_no_po              | score=0.0429 | avg20=0.1074 | steps= 6 | loss=0.9266
  Ep 1500/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.0733 | steps=20 | loss=0.3555
  ✓ Saved checkpoint: outputs/checkpoints/policy_ep1500.pt
  Ep 1510/5000 | task=medium_amount_mismatch         | score=0.0001 | avg20=0.0822 | steps= 4 | loss=-0.6355
  Ep 1520/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.0517 | steps=20 | loss=0.0962
  Ep 1530/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.0414 | steps=15 | loss=-0.1429
  Ep 1540/5000 | task=easy_travel_approve            | score=0.0001 | avg20=0.1248 | steps= 4 | loss=-0.3111
  Ep 1550/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.0853 | steps=20 | loss=0.4783
  Ep 1560/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.0822 | steps=15 | loss=-0.3029
  Ep 1570/5000 | task=easy_reject_no_po              | score=0.3143 | avg20=0.0998 | steps= 3 | loss=-0.5672
  Ep 1580/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.0822 | steps=20 | loss=-0.4732
  Ep 1590/5000 | task=medium_amount_mismatch         | score=0.0001 | avg20=0.1326 | steps= 4 | loss=-0.2789
  Ep 1600/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.0698 | steps=20 | loss=-0.7268
  Ep 1610/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.0884 | steps=15 | loss=0.1698
  Ep 1620/5000 | task=easy_travel_approve            | score=0.0001 | avg20=0.1207 | steps= 4 | loss=-0.1697
  Ep 1630/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.0630 | steps=20 | loss=-0.0915
  Ep 1640/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.1084 | steps=15 | loss=-0.3057
  Ep 1650/5000 | task=easy_reject_no_po              | score=0.0429 | avg20=0.0836 | steps= 5 | loss=0.4641
  Ep 1660/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.0610 | steps=20 | loss=0.5989
  Ep 1670/5000 | task=medium_amount_mismatch         | score=0.0001 | avg20=0.1439 | steps= 4 | loss=-0.4971
  Ep 1680/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.0888 | steps=20 | loss=-0.1382
  Ep 1690/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.0457 | steps=15 | loss=-0.2278
  Ep 1700/5000 | task=easy_travel_approve            | score=0.6462 | avg20=0.1261 | steps= 4 | loss=-0.1288
  Ep 1710/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.1116 | steps=20 | loss=0.2084
  Ep 1720/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.0716 | steps=15 | loss=-0.7484
  Ep 1730/5000 | task=easy_reject_no_po              | score=0.0001 | avg20=0.0810 | steps= 3 | loss=-0.1351
  Ep 1740/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.0711 | steps=20 | loss=-0.6309
  Ep 1750/5000 | task=medium_amount_mismatch         | score=0.0001 | avg20=0.1192 | steps= 4 | loss=0.0677
  ✓ Saved checkpoint: outputs/checkpoints/policy_ep1750.pt
  Ep 1760/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.0887 | steps=20 | loss=-0.2159
  Ep 1770/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.0928 | steps=15 | loss=-0.0960
  Ep 1780/5000 | task=easy_travel_approve            | score=0.0001 | avg20=0.1085 | steps= 4 | loss=0.3856
  Ep 1790/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.0176 | steps=20 | loss=-0.3750
  Ep 1800/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.0734 | steps=15 | loss=-0.0611
  Ep 1810/5000 | task=easy_reject_no_po              | score=0.0001 | avg20=0.1060 | steps= 4 | loss=-1.3660
  Ep 1820/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.0867 | steps=20 | loss=0.6169
  Ep 1830/5000 | task=medium_amount_mismatch         | score=0.0001 | avg20=0.1101 | steps= 5 | loss=-0.4910
  Ep 1840/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.0579 | steps=20 | loss=-0.0787
  Ep 1850/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.0176 | steps=15 | loss=0.0519
  Ep 1860/5000 | task=easy_travel_approve            | score=0.6462 | avg20=0.0656 | steps= 4 | loss=0.0734
  Ep 1870/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.0499 | steps=20 | loss=-0.1675
  Ep 1880/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.0671 | steps=15 | loss=-0.1108
  Ep 1890/5000 | task=easy_reject_no_po              | score=0.0001 | avg20=0.1074 | steps= 3 | loss=-1.3715
  Ep 1900/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.1020 | steps=20 | loss=-0.0655
  Ep 1910/5000 | task=medium_amount_mismatch         | score=0.5875 | avg20=0.2040 | steps= 4 | loss=-0.0183
  Ep 1920/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.1442 | steps=20 | loss=-0.1953
  Ep 1930/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.0499 | steps=15 | loss=-0.4215
  Ep 1940/5000 | task=easy_travel_approve            | score=0.6462 | avg20=0.0979 | steps= 4 | loss=-0.3062
  Ep 1950/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.0499 | steps=20 | loss=-0.3610
  Ep 1960/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.0995 | steps=15 | loss=-0.0408
  Ep 1970/5000 | task=easy_reject_no_po              | score=0.3143 | avg20=0.1524 | steps= 3 | loss=-0.5996
  Ep 1980/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.0530 | steps=20 | loss=-0.7342
  Ep 1990/5000 | task=medium_amount_mismatch         | score=0.0001 | avg20=0.1085 | steps= 5 | loss=-0.5371
  Ep 2000/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.1104 | steps=20 | loss=-0.5059
  ✓ Saved checkpoint: outputs/checkpoints/policy_ep2000.pt
  Ep 2010/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.1207 | steps=15 | loss=0.0918
  Ep 2020/5000 | task=easy_travel_approve            | score=0.6462 | avg20=0.2395 | steps= 4 | loss=0.1143
  Ep 2030/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.1207 | steps=20 | loss=-0.2609
  Ep 2040/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.0499 | steps=15 | loss=0.6219
  Ep 2050/5000 | task=easy_reject_no_po              | score=0.3143 | avg20=0.1059 | steps= 3 | loss=-0.4264
  Ep 2060/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.1207 | steps=20 | loss=-0.1807
  Ep 2070/5000 | task=medium_amount_mismatch         | score=0.0001 | avg20=0.1024 | steps= 4 | loss=-0.6111
  Ep 2080/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.0396 | steps=20 | loss=-0.1042
  Ep 2090/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.0404 | steps=15 | loss=-0.2527
  Ep 2100/5000 | task=easy_travel_approve            | score=0.0001 | avg20=0.1111 | steps= 4 | loss=-0.1592
  Ep 2110/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.1020 | steps=20 | loss=-0.2862
  Ep 2120/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.1085 | steps=15 | loss=0.0884
  Ep 2130/5000 | task=easy_reject_no_po              | score=0.0001 | avg20=0.0810 | steps= 3 | loss=0.5764
  Ep 2140/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.0588 | steps=20 | loss=-0.5401
  Ep 2150/5000 | task=medium_amount_mismatch         | score=0.0001 | avg20=0.1296 | steps= 5 | loss=-0.2805
  Ep 2160/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.0745 | steps=20 | loss=-0.3228
  Ep 2170/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.1207 | steps=15 | loss=-0.1482
  Ep 2180/5000 | task=easy_travel_approve            | score=0.6462 | avg20=0.2072 | steps= 4 | loss=-0.2780
  Ep 2190/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.1178 | steps=20 | loss=-0.1550
  Ep 2200/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.1178 | steps=15 | loss=-0.5347
  Ep 2210/5000 | task=easy_reject_no_po              | score=0.3143 | avg20=0.1059 | steps= 3 | loss=0.0851
  Ep 2220/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.0822 | steps=20 | loss=-0.2996
